"recid","issueID","user","createtime","updatetime","text","identifier"
"14","1","GroupS/user4","1485287153","1485287153","I am also in the library from now until class starts. I can meet @3.30.","274916451"
"6","1","GroupS/user2","1485276237","1485276237","Shall we meet today (just before class) or tomorrow?","274861119"
"12","1","GroupS/user1","1485287058","1485287058","Okay. I think it is important to find existing code bases as well so we don't have to reinvent the wheel here. ","274915926"
"15","1","GroupS/user3","1485287207","1485287207","ok, I will be there before 3:30.","274916743"
"5","1","GroupS/user2","1485220580","1485220580","Similarly, matches can be done on the basis of similar interest, proximity, complementary/supplementary skill sets, common friends (referal type), etc. We can create google forms based on these to find out what all to people consider before deciding on group partners.","274671480"
"8","1","GroupS/user1","1485280436","1485280436","Just before class works for me.","274882346"
"10","1","GroupS/user1","1485285679","1485285679","What will we be discussing at this meeting?","274908035"
"16","1","GroupS/user1","1485287283","1485287283","I will be there at 3:30 as well. Where should we meet   ---- Michael Goff Graduate Student Computer Science North Carolina State University  On Tue, Jan 24, 2017 at 2:46 PM, jdeng8 <notifications@github.com> wrote:  > ok, I will be there before 3:30. > > — > You are receiving this because you were assigned. > Reply to this email directly, view it on GitHub > <https://github.com/NCSU-SE-Spring-17/SE-17-T/issues/1#issuecomment-274916743>, > or mute the thread > <https://github.com/notifications/unsubscribe-auth/AEcjLFOsKpHacJRkcB4Z7AUn4Z33_BHrks5rVlUngaJpZM4Lrayq> > . > ","274917171"
"11","1","GroupS/user3","1485286193","1485286193","I think the most important things are data collection(evaluate) and conduct research. We can discuss how and what to do with surveys and interviews to collect data. Then we can find papers relative to our project after the meeting.","274911010"
"17","1","GroupS/user1","1485288357","1485288357","I have found a table on the 4th floor at the top of the stairs","274922735"
"3","1","GroupS/user4","1485199371","1485199371","I found the below paper which has some ideas on how to match people.  https://www.google.com/patents/US5963951  I am still looking into some other papers to find something useful, haven't searched for any existing code bases.  ","274589696"
"13","1","GroupS/user1","1485287075","1485287075","What time is everyone available? I'm at the library from now until class starts  ","274916021"
"2","1","GroupS/user1","1485198882","1485198882","Alright so does anyone have any relevant papers or existing code-bases we can modify or extend to accomplish this task in 3 different ways?    Secondary question: Any initial ideas for users testing / interviews relating to forming teams or finding team members with particular skills?","274587369"
"4","1","GroupS/user2","1485220373","1485220373","http://delivery.acm.org.prox.lib.ncsu.edu/10.1145/1100000/1096740/p401-terveen.pdf?ip=152.14.136.96&id=1096740&acc=ACTIVE%20SERVICE&key=6ABC8B4C00F6EE47%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&CFID=720059291&CFTOKEN=36493159&__acm__=1485217322_185ac41302e0f125b3b32bc24e519b7c    I found one excellent paper (link above) relating to social matching. Lil old (1990) and lil long (35 pages) but I will try to summarize it:  Two types of movie matching discussed at the start, which we can modify and use in our case maybe?  1. Collaborative filtering technique matches a target user with other users who have similar preferences, and then recommends items that these neighboring users rated highly and that the target user has not rated. (Peer review based?)  2.  Content-based recommenders locate items that are similar to those a user has liked in the past. (Skills based?)","274670869"
"18","1","GroupS/user4","1485288416","1485288416","Cool, I'll meet you there in 20 mins.  ","274923030"
"1","1","GroupS/user4","1485198703","1485198703","Central Idea: A web application in which a user can log on and look up people with a particular skill set and invite them to collaborate on a particular project.","274586537"
"9","1","GroupS/user3","1485285526","1485285526","at what time?","274907110"
"7","2","GroupS/user1","1485280404","1485280404","The link will have to be updated after @bhaskarsinha1311 changes the repo name since it will change the URL of the repo","274882202"
"19","3","GroupS/user1","1485292268","1485292268","Approaches:    1. User creates a group and requests people to apply  2. Groups automatically created based on population's traits.  3. Users have a list of preferred projects and application sorts people into groups based on preferences  ","274939779"
"21","3","GroupS/user5","1485456676","1485456676","just a suggestion, but...    ![image](https://cloud.githubusercontent.com/assets/29195/22345550/80f6dcd4-e3ce-11e6-8dc1-1c787aaabb39.png)  ","275476209"
"20","3","GroupS/user4","1485296016","1485296016","Guys, I have sent the quiz, please take a look at it and see if any changes need to be made.","274956306"
"38","5","GroupS/user3","1485838858","1485838858","I found a paper research about software project resources and team member allocate:  The use of Search-Based Optimization Techniques to Schedule and Staff Software Projects: an Approach and an Empirical Study - Massimiliano Di Penta  The author use search-based software engineering to design team allocation algorithm","276275636"
"23","5","GroupS/user4","1485469005","1485469005","Computerized on-line dating service for searching and matching people   https://www.google.com/patents/US5963951","275531490"
"25","5","GroupS/user4","1485469120","1485469120","I have got these two so far. I can look into more and start with the slides.","275531919"
"24","5","GroupS/user4","1485469092","1485469092","Social Matching: A Framework and Research Agenda    ","275531812"
"22","6","GroupS/user4","1485468891","1485468891","I can do that.  ","275531049"
"29","7","GroupS/user1","1485470184","1485470184","Thanks!","275535972"
"28","7","GroupS/user2","1485470061","1485470061","sjha5@ncsu.edu","275535506"
"26","7","GroupS/user4","1485469989","1485469989","bsinha@ncsu.edu","275535226"
"27","7","GroupS/user3","1485470028","1485470028","jdeng8@ncsu.edu","275535364"
"33","8","GroupS/user1","1485640546","1485640546","Approaches:    1. User creates a group and requests people to apply  2. Groups automatically created based on population's traits.  3. Users have a list of preferred projects and application sorts people into groups based on preferences    I don't really have time to get together this weekend. We can approach these as we discussed with the professor. I don't think these proposals have to be super in depth detail wise just an outline of what they will do. At least that's what it looks like from the other papers. It didn't look like they even had 3 solutions to their problems either.     - I think the paper just needs to be 5 pages and we can model them after the other examples      - The papers in question are under the January heading here: https://github.com/txt/se17/blob/master/doc/project.md  - I believe the slides will just be the auto paced 20 slides 20 seconds per slide and I believe I recall the professor saying just 1 speaker would be appropriate and other speakers will come in on other presentations. ","275877484"
"31","8","GroupS/user1","1485630160","1485630160","What other sections can you guys write? I know we need to talk about research and that sort of thing. We also need to outline the three solutions","275867415"
"30","8","GroupS/user2","1485629866","1485629866","Just added my name in the pdf. So yes, I can access and edit it!","275867122"
"32","8","GroupS/user4","1485639684","1485639684","Should we get together once, to discuss the deliverables and the outlines of the solutions.","275876605"
"39","9","GroupS/user1","1485874711","1485874711","If possible could everyone get their pieces written by 6 or 7pm tonight so I have some time to go through and edit everything?","276385824"
"35","9","GroupS/user2","1485796384","1485796384","@MichaelGoff Can you cover introduction as well?  @jdeng8 You have to write about approach 3, research ties and conclusion.  I will be doing free responses, approach 1 and 2.   So we all have 3 topics each to cover.  @bhaskarsinha1311 is taking care of ppt.    Also, I will be pinging here and in slack (our channel) to notify when I am done with writing. Please do proofreading after that.","276123830"
"47","9","GroupS/user3","1485913080","1485913080","@bhaskarsinha1311  solution 3 in slides is different from what I described in report. Your words are""the person is in charge of selecting..."" But I think the person can not select members. Members bid for projects with different weights according to their preference then a lottery algorithm generates the result.","276549105"
