recid	issueID	user	createtime	updatetime	text	identifier
1	1	user3	1486585437	1486585437	@DevArenaCN  I am not able to push the project. It says permission denied. Could you give me access rights.	278450517
2	1	user1	1486585646	1486585646	I have give you permission. Check your invitation. 	278451366
3	1	user3	1486586053	1486586053	"Got it, thanks! :)    I have pushed a basic hello world app. It should give us a working code base to build our application.  "	278453132
9	2	user1	1486610657	1486610657	"@thegreyd Sid, I'm working on the server side, you're more than welcome to contribute when you're done with your task, thanks!"	278536557
63	2	user1	1487299053	1487299053	Done!	280532623
66	3	user2	1487306515	1487306515	Done.	280550476
116	4	user1	1487685341	1487685341	These issues are too broad. Closing these and change to smaller more detailed issues	281350510
122	5	user3	1487714076	1487714076	Fixed the 'network on main thread' exception.  Now making the magic-link API call in a background thread.	281493952
123	5	user1	1487859981	1487859981	UI has been modified for magic link email.	282004716
114	5	user3	1487646809	1487646809	Integrated the magic link authentication. Getting errors executing the post call though ??   Will look into it tomorrow.	281233763
112	5	user3	1487622997	1487622997	Okay. I'll make the changes. ?? 	281175979
111	5	user1	1487616313	1487616313	@KaustubhG I've made some changes to the link above. That's the actual one we're using now	281154514
57	5	user3	1487279154	1487616286	@DevArenaCN  @thegreyd   http://zapserver.herokuapp.com/magiclinks/auth_token=<auth_token>	280460300
76	6	user2	1487358610	1487358610	Next step is to find android library and code to record audio and convert it into wav format specified above. Android doesn't natively suppory wav. I tried using this library: https://github.com/adrielcafe/AndroidAudioRecorder. But keep getting errors.	280739238
82	6	user2	1487378068	1487378068	Lots of voice recognition functionality implemented today! Good job @KaustubhG :smile:	280804109
74	6	user2	1487358437	1487358437	"- apis  	- get all verification phrases  	- create profile  	- create enrollment  	- delete profile  	- get all profiles  	- get profile  	- reset enrollments  	- verification    - Procedure:  	- create verification profile id - using subscription id  		-"	280738519
73	6	user2	1487358105	1487358105	Microsoft Voice api : https://westus.dev.cognitive.microsoft.com/docs/services/563309b6778daf02acc0a508/operations/56406930e597ed20c8d8549c	280737111
117	6	user1	1487685397	1487685397	Is there any issues regarding the voice recognition right now?	281350726
79	6	user3	1487364298	1487364298	Voice Recorder Works! :dancing_men: 	280761541
120	6	user2	1487690434	1487690434	Done. We can open specific issues to deal with them. 	281374349
94	6	user2	1487453850	1487453850	Core functionality is done now. Todo: Add proper instructions for enrollment. 	280876902
77	6	user2	1487358801	1487358801	"A better approach would be to first test the api (with some python code), and see if it works here (since its mentioned availability is only west-US), and then code up the application. "	280740035
75	6	user2	1487358512	1487358512	"The audio file format must meet the following requirements.  Container 	WAV  Encoding 	PCM  Rate 	16K  Sample Format 	16 bit  Channels 	Mono"	280738801
78	6	user2	1487364036	1487364036	API works. Tested with Python scripts [here](https://github.com/Microsoft/Cognitive-SpeakerRecognition-Python). 	280760555
12	7	user3	1486656922	1486656922	Basic UI is in place.	278690016
