issue_id,when,action,what,user,milestone,assignee,comments,issuecreated_at,issueclosed_at,duration
20,2017-03-09T19:38:09Z,labeled,bug,user1,Demo Day,user1,4,1489088289,1489115829,0.31875
3,2017-04-19T02:36:57Z,labeled,requirement,user2,,user3,1,1486672933,1486995969,3.738842593
1,2017-04-19T02:36:36Z,labeled,requirement,user2,,user1,11,1486672853,1487298547,7.241828704
24,2017-03-27T01:21:53Z,labeled,bug,user1,,user1,1,1490577713,1490578265,0.006388889
2,2017-04-19T02:36:50Z,labeled,requirement,user2,,user3,1,1486672899,1486996001,3.739606481
18,2017-02-28T17:55:36Z,labeled,enhancement,user2,,user3,5,1488304522,1492114627,44.0984375
14,2017-02-20T07:11:09Z,labeled,bug,user1,,user3,6,1487574640,1487596944,0.258148148
13,2017-02-18T08:22:09Z,labeled,question,user1,,user1,5,1487406129,1487437401,0.361944444
19,2017-03-09T00:25:10Z,labeled,enhancement,user1,Demo Day,user1,1,1489019110,1489119085,1.157118056
17,2017-02-23T14:27:11Z,labeled,enhancement,user2,,user3,1,1487860031,1487885310,0.292581019
8,2017-02-15T08:28:56Z,labeled,bug,user1,,user3,2,1487147299,1487298718,1.752534722
7,2017-02-14T22:38:49Z,labeled,enhancement,user2,,user3,1,1487111916,1487298525,2.159826389
5,2017-02-14T22:39:00Z,labeled,enhancement,user2,,user3,1,1487111863,1487253665,1.641226852
6,2017-02-14T22:38:55Z,labeled,enhancement,user2,,user3,1,1487111887,1487295719,2.127685185
4,2017-02-14T22:37:25Z,labeled,enhancement,user2,,user3,1,1487111845,1487253656,1.641331019
